iter	Passed	Remaining
1402	11194	68596
1403	11202	68584
1404	11209	68574
1405	11217	68567
1406	11225	68560
1407	11233	68550
1408	11241	68542
1409	11250	68538
1410	11258	68532
1411	11266	68524
1412	11273	68512
1413	11281	68503
1414	11289	68494
1415	11297	68484
1416	11305	68476
1417	11313	68468
1418	11320	68459
1419	11328	68449
1420	11336	68441
1421	11344	68432
1422	11352	68424
1423	11359	68415
1424	11368	68408
1425	11375	68399
1426	11383	68390
1427	11392	68384
1428	11400	68376
1429	11408	68370
1430	11416	68361
1431	11425	68358
1432	11433	68353
1433	11441	68344
1434	11449	68339
1435	11458	68333
1436	11465	68324
1437	11473	68314
1438	11481	68306
1439	11488	68295
1440	11497	68287
1441	11505	68282
1442	11513	68273
1443	11521	68266
1444	11529	68261
1445	11537	68251
1446	11545	68245
1447	11554	68241
1448	11562	68235
1449	11570	68225
1450	11577	68213
1451	11585	68205
1452	11593	68198
1453	11601	68190
1454	11610	68183
1455	11618	68178
1456	11626	68169
1457	11634	68161
1458	11642	68154
1459	11650	68149
1460	11659	68142
1461	11667	68137
1462	11675	68129
1463	11683	68123
1464	11691	68114
1465	11699	68104
1466	11706	68094
1467	11715	68090
1468	11723	68082
1469	11731	68076
1470	11739	68068
1471	11747	68060
1472	11756	68054
1473	11764	68047
1474	11772	68040
1475	11780	68031
1476	11787	68021
1477	11795	68013
1478	11803	68002
1479	11811	67993
1480	11818	67982
1481	11826	67974
1482	11834	67968
1483	11842	67958
1484	11850	67948
1485	11857	67938
1486	11866	67932
1487	11874	67924
1488	11881	67914
1489	11889	67908
1490	11898	67901
1491	11905	67892
1492	11913	67884
1493	11921	67874
1494	11929	67864
1495	11936	67854
1496	11944	67844
1497	11951	67832
1498	11959	67826
1499	11968	67819
1500	11976	67811
1501	11983	67802
1502	11991	67791
1503	11999	67786
1504	12007	67776
1505	12015	67771
1506	12024	67764
1507	12032	67756
1508	12040	67748
1509	12047	67740
1510	12055	67732
1511	12063	67723
1512	12072	67716
1513	12079	67707
1514	12088	67701
1515	12096	67694
1516	12104	67686
1517	12111	67675
1518	12119	67668
1519	12127	67660
